,Label,MBI,MNDWI,NDVI,SAVI
5,5,0.121492,0.13138,0.0989202,0.148374
5,5,0.126924,0.142857,0.104112,0.156161
5,5,0.100348,0.0187479,0.195704,0.293542
5,5,0.171101,0.029664,0.0646608,0.0969863
5,5,0.113477,0.0676163,0.116519,0.174772
5,5,0.14242,0.140518,0.0159695,0.0239534
5,5,0.123205,0.0939902,0.0730406,0.109557
5,5,0.136318,0.110502,0.0563261,0.0844861
5,5,0.137746,0.0669829,0.0686853,0.103024
5,5,0.0962063,0.0636718,0.164631,0.246936
5,5,0.108521,0.0282266,0.198167,0.297239
5,5,0.13375,0.0915541,0.0758683,0.113798
5,5,0.116123,0.0582293,0.116193,0.174283
5,5,0.151058,0.0223818,0.109333,0.163992
5,5,0.117214,0.0450782,0.147133,0.220689
5,5,0.117214,0.0450782,0.147133,0.220689
5,5,0.146653,-0.0475127,0.115453,0.17317
5,5,0.140251,0.137101,0.019334,0.0290001
5,5,0.130702,0.146518,0.0302712,0.0454053
5,5,0.15565,0.13765,0.00254348,0.00381509
5,5,0.152705,0.109787,0.0517883,0.0776793
5,5,0.130129,0.0730007,0.121823,0.182726
5,5,0.129864,0.107161,0.0792646,0.118892
5,5,0.129486,0.107287,0.058443,0.0876613
5,5,0.161431,0.112561,0.00538197,0.00807265
5,5,0.137654,0.0918241,0.0719567,0.107931
5,5,0.116584,0.0485768,0.108119,0.162172
5,5,0.0922181,-0.0959261,0.200177,0.300253
5,5,0.110975,0.0848999,0.0834362,0.12515
5,5,0.135671,0.108226,0.0334102,0.0501137
5,5,0.127935,0.100187,0.0501278,0.0751892
5,5,0.120086,0.0741298,0.113943,0.170907
5,5,0.096796,0.0512733,0.174324,0.261474
5,5,0.0771776,0.0161142,0.216877,0.3253
5,5,0.0760281,0.0342289,0.205218,0.307811
5,5,0.14293,0.138671,0.0160999,0.0241491
5,5,0.122364,0.104101,0.108251,0.16237
5,5,0.116637,0.0896722,0.0846236,0.126931
5,5,0.115004,0.0866917,0.0952232,0.142829
5,5,0.0889437,-0.0850993,0.248135,0.372186
5,5,0.136223,0.194867,0.0532172,0.0798226
5,5,0.0982389,0.119457,0.136037,0.204048
5,5,0.172745,0.183002,-0.00523481,-0.00785191
5,5,0.137418,0.144562,0.0336251,0.0504359
5,5,0.119048,0.20516,0.064278,0.096413
5,5,0.119374,0.137181,0.0712847,0.106923
5,5,0.130178,0.0695322,0.0907064,0.136054
5,5,0.140813,0.0662434,0.114894,0.172332
5,5,0.131743,0.0846096,0.0618587,0.0927846
5,5,0.0928347,0.160779,0.0558701,0.083802
5,5,0.0528855,0.264274,0.0279036,0.0418541
5,5,0.0471092,0.23845,0.0458861,0.0688268
5,5,0.037012,0.286706,0.0299416,0.044911
5,5,0.0359701,0.262573,0.0605215,0.0907791
5,5,0.0550838,0.227069,0.0499128,0.0748668
5,5,0.0990112,0.216418,0.0405953,0.0608907
5,5,0.0973219,0.160266,0.0600314,0.0900438
5,5,0.0366809,0.247754,0.0610823,0.0916204
5,5,0.0429545,0.262982,0.0384244,0.0576348
5,5,0.0346381,0.261092,0.0567662,0.0851465
5,5,0.0316563,0.271582,0.0517902,0.0776827
5,5,0.0726244,0.232883,0.031826,0.0477374
5,5,0.104395,0.203639,0.0248657,0.0372971
5,5,0.0690179,0.235284,0.0256125,0.0384175
5,5,0.0474793,0.260314,0.0391492,0.0587219
5,5,0.0388294,0.24604,0.0621797,0.0932663
5,5,0.0261401,0.268402,0.0552115,0.0828145
5,5,0.0435413,0.258362,0.0349546,0.0524303
5,5,0.0396788,0.285106,0.0257982,0.0386961
5,5,0.0450473,0.233234,0.0697776,0.104663
5,5,0.050126,0.242745,0.0476587,0.0714855
5,5,0.0314136,0.329203,-0.00458015,-0.00687
5,5,0.0254821,0.27356,0.0697507,0.104622
5,5,0.0115523,0.323197,0.0248432,0.0372636
5,5,0.037993,0.291212,0.0206888,0.0310322
5,5,0.0218306,0.319564,0.0201562,0.0302333
5,5,0.0221071,0.312999,0.040917,0.0613734
5,5,0.000682533,0.327273,0.0351337,0.0526989
5,5,0.0165734,0.322581,0.0260086,0.0390117
5,5,0.0518029,0.118714,0.157951,0.236916
5,5,0.0175404,0.308765,0.0323381,0.0485055
